id,pop10,pop16,cpop1016,pcpop1016,pcnhwht1016,pcnhblk1016,pcasian1016,pchisp1016
37063000101,3152.00,3026.00,-126.00,-4.00,3.25,-3.79,-1.59,-0.56
37063000102,4535.00,4506.00,-29.00,-0.64,6.87,-4.41,-0.39,-3.01
37063000200,2946.00,3239.00,293.00,9.95,4.23,-10.77,-0.59,7.34
37063000301,2504.00,2578.00,74.00,2.96,5.46,-8.20,1.60,1.67
37063000302,3426.00,3593.00,167.00,4.87,2.23,-2.87,0.66,-2.10
37063000401,2523.00,3035.00,512.00,20.29,8.50,-7.42,-1.14,-0.11
37063000402,1963.00,2054.00,91.00,4.64,5.62,-4.46,2.78,-7.18
37063000500,4093.00,3770.00,-323.00,-7.89,7.48,2.00,1.47,-12.77
37063000600,5177.00,6017.00,840.00,16.23,1.28,9.21,2.35,-16.46
37063000700,2830.00,3731.00,901.00,31.84,-4.47,1.62,0.39,0.57
37063000900,1668.00,1999.00,331.00,19.84,0.98,-1.57,-0.60,0.86
37063001001,3466.00,4377.00,911.00,26.28,0.90,-10.92,-0.32,1.48
37063001002,5974.00,5776.00,-198.00,-3.31,-1.64,-7.97,-0.35,8.44
37063001100,3225.00,3617.00,392.00,12.16,3.25,-1.49,-0.19,-1.85
37063001301,1128.00,1408.00,280.00,24.82,1.80,-9.92,0.05,5.51
37063001303,3676.00,3591.00,-85.00,-2.31,5.60,-15.41,2.38,6.34
37063001304,2557.00,3006.00,449.00,17.56,1.61,-2.74,-0.08,-3.75
37063001400,2609.00,2542.00,-67.00,-2.57,0.07,-12.30,-0.11,4.47
37063001501,3070.00,2911.00,-159.00,-5.18,-4.84,11.24,-9.50,1.21
37063001502,5986.00,6292.00,306.00,5.11,0.35,-3.68,6.06,-6.38
37063001503,1941.00,1642.00,-299.00,-15.40,-13.89,16.18,-3.24,-0.32
37063001601,5806.00,6114.00,308.00,5.30,-8.38,-1.41,-0.70,9.23
37063001603,6271.00,6277.00,6.00,0.10,-1.44,0.22,-1.23,0.75
37063001604,6645.00,6599.00,-46.00,-0.69,3.73,-2.56,-1.99,-1.72
37063001705,4519.00,5202.00,683.00,15.11,-3.28,1.72,-1.45,3.46
37063001706,4179.00,5033.00,854.00,20.44,-8.96,7.75,2.75,-2.30
37063001707,6485.00,7042.00,557.00,8.59,-4.57,-2.39,1.33,2.72
37063001708,3989.00,5260.00,1271.00,31.86,-1.73,-7.07,-0.50,8.15
37063001709,6109.00,6477.00,368.00,6.02,0.39,-4.59,1.69,-0.63
37063001710,4705.00,4348.00,-357.00,-7.59,2.41,3.74,3.13,-10.14
37063001711,4503.00,4620.00,117.00,2.60,2.20,-1.48,-0.43,-2.96
37063001801,7123.00,7852.00,729.00,10.23,-4.05,1.25,-0.18,1.80
37063001802,6736.00,7452.00,716.00,10.63,-1.52,-13.67,-0.39,12.48
37063001806,5672.00,6004.00,332.00,5.85,-2.39,2.93,0.01,-0.63
37063001807,9416.00,9153.00,-263.00,-2.79,0.09,-3.40,-0.56,2.39
37063001808,5046.00,7954.00,2908.00,57.63,-1.11,1.97,3.30,-5.34
37063001809,5148.00,5448.00,300.00,5.83,1.85,3.77,-0.80,-6.61
37063001900,2847.00,3102.00,255.00,8.96,0.90,-0.42,0.07,-4.05
37063002007,4854.00,5081.00,227.00,4.68,0.89,-4.14,-2.11,3.13
37063002008,2907.00,3101.00,194.00,6.67,-0.68,2.37,-2.58,-1.39
37063002009,4685.00,4559.00,-126.00,-2.69,-0.91,-5.51,1.56,3.56
37063002013,4481.00,4550.00,69.00,1.54,1.14,-2.33,-1.72,-0.59
37063002015,5127.00,5505.00,378.00,7.37,7.90,-1.61,-0.97,-6.59
37063002016,5384.00,5731.00,347.00,6.45,1.01,2.60,-4.00,-1.55
37063002017,6654.00,7615.00,961.00,14.44,-2.63,0.28,-0.63,-0.84
37063002018,7483.00,8674.00,1191.00,15.92,-6.27,4.14,-1.24,1.47
37063002019,4408.00,4844.00,436.00,9.89,4.06,-1.62,-1.34,-0.48
37063002020,5894.00,6971.00,1077.00,18.27,2.60,-2.51,-2.26,-1.28
37063002021,4432.00,4518.00,86.00,1.94,1.77,-3.36,-2.90,3.56
37063002022,4307.00,4688.00,381.00,8.85,5.92,-0.23,-3.84,-5.82
37063002023,2808.00,3308.00,500.00,17.81,1.06,-7.94,3.08,4.79
37063002024,5848.00,6188.00,340.00,5.81,-2.46,1.23,0.02,1.49
37063002025,5938.00,6898.00,960.00,16.17,4.26,-3.06,-2.30,-1.85
37063002026,5813.00,6434.00,621.00,10.68,0.10,1.36,-2.56,-2.00
37063002027,7272.00,9099.00,1827.00,25.12,-8.80,1.69,-4.47,9.91
37063002028,6001.00,7604.00,1603.00,26.71,-0.43,-3.19,2.94,-2.60
37063002100,6362.00,9284.00,2922.00,45.93,-17.41,13.30,-1.25,2.97
37063002200,1946.00,1835.00,-111.00,-5.70,13.22,-6.71,-0.59,-8.09
37063002300,1331.00,1484.00,153.00,11.50,3.79,-7.84,-0.08,4.00
37063980100,4.00,0.00,-4.00,-100.00,NaN,NaN,NaN,NaN
